t,t_knwn,traj_num,x,x_knwn,y,y_knwn,z,z_knwn
-0.0024,,,-0.454000590037,,0.74338252241,,3.12564677551,
0.0162,,,-1.05976205982,,0.704427927183,,3.20333577885,
0.0352,,,-0.994829362368,,0.776970212383,,3.14746663119,
0.0677,,,-0.338029384409,,0.852995798618,,2.96244258089,
0.0803,,,2.76652346573,,1.35152906499,,0.752846196242,
0.1006,,,-0.88897222,,0.790235642491,,3.0514546852,
0.1191,,,-0.883815218814,,0.724081491746,,3.0198788451,
0.1533,,,1.99215281989,,-0.138854341979,,2.4282289594,
0.1735,,,-0.126593985212,,1.07850385874,,2.69553213376,
0.1991,,,-0.697491135752,,0.793630169981,,2.83809238403,
0.2279,,,0.355052329041,,2.45534354194,,2.57835997526,
0.2329,,,0.00961042090194,,1.21125346768,,2.5536663483,
0.26,,,2.7556092333,,1.37750452418,,0.763149353545,
0.2844,,,-0.449180155262,,0.880596407879,,2.64894024835,
0.296,,,1.95936581785,,0.271868726694,,2.03742008878,
0.3151,,,0.27783092674,,1.49697631837,,2.35039260961,
0.3697,,,1.97471075476,,0.501300729207,,1.85377508031,
0.4528,,,2.01418768023,,0.915587739538,,1.68582316628,
0.4645,,,0.834370770097,,2.02148759295,,2.08346317027,
0.5017,,,0.99550733394,,2.21676890442,,2.01417957058,
0.5429,,,2.09139852188,,1.42077239699,,1.56161790147,
0.5536,0.549911458333,2.0,0.618154723889,0.509552,1.41553425255,1.485251,2.1300589921,1.992344
0.6345,,,2.19188301721,,1.88137259291,,1.48711739332,
0.6479,0.629911458333,2.0,1.03951935227,0.994821,1.63219785264,1.970378,2.02047462119,1.871424
0.6735,,,1.70731059118,,2.98515853471,,1.87922217346,
0.7053,,,1.83791565891,,3.13708734746,,1.85777567861,
0.7253,,,2.3264949023,,2.40058041575,,1.48542119365,
0.7304,,,,,,,,
0.7509,,,2.37210259772,,2.53322339794,,1.49049833808,
0.7627,,,1.55223881426,,2.01465881714,,1.95848781671,
0.7885,0.789911458333,2.0,2.16628814306,1.962286,3.5510548772,3.079501,1.88018987004,1.795035
0.817,0.829911458333,2.0,2.4918566727,2.171186,2.89333108504,3.320737,1.54417715342,1.808195
0.8397,0.829911458333,2.0,2.5328443573,2.171186,3.01625764511,3.320737,1.56885650796,1.808195
0.8777,0.869911458333,2.0,2.45700565745,2.397752,3.9038037075,3.60561,1.92970339896,1.870046
0.9072,0.909911458333,1.0,2.6561153795,2.667932,3.36194151273,2.706327,1.67233074993,1.467404
0.9072,0.909911458333,2.0,2.6561153795,2.618482,3.36194151273,3.887983,1.67233074993,1.917862
0.9324,0.949911458333,1.0,2.71514077017,2.776993,3.47675881433,2.958306,1.70744471453,1.551705
0.9425,,,2.27899960873,,2.64974370391,,2.00074813155,
0.9804,0.989911458333,2.0,2.82776622542,3.02327,4.42470733431,4.392079,2.08653455915,2.108812
0.9959,0.989911458333,1.0,2.81778104428,2.89628,3.77568832213,3.239303,1.83899745488,1.676061
1.0015,0.989911458333,1.0,2.78598859171,2.89628,3.64883768646,3.239303,1.81454022307,1.676061
1.0101,1.02991145833,2.0,2.91622004861,3.200997,4.55873689303,4.62552,2.14320905565,2.184838
1.0151,1.02991145833,3.0,2.52713417416,2.571851,2.95465322525,2.281556,2.06752702971,2.078091
1.0219,1.02991145833,1.0,2.85379596007,2.985104,3.88863735284,3.476145,1.89326938413,1.792286
1.0899,1.06991145833,1.0,2.91604877963,3.07164,4.17097314287,3.747074,2.05299129284,1.93688
1.1174,1.10991145833,1.0,2.93860121057,3.112846,4.27839093432,3.952948,2.11665294488,2.067859
1.1937,1.18991145833,1.0,2.95487786998,3.168464,4.58034710239,4.398238,2.27526423994,2.325907
1.2088,1.18991145833,1.0,2.98320282618,3.168464,3.78311783284,4.398238,2.325495591,2.325907
1.2088,1.18991145833,3.0,2.98320282618,3.126846,3.78311783284,3.184802,2.325495591,2.37148
1.2239,1.22991145833,1.0,2.96194084727,3.184565,4.72738085075,4.649792,2.32940471643,2.429699
1.2776,1.26991145833,3.0,3.05403494098,3.299025,4.10772117244,3.689031,2.42656726572,2.541478
1.2966,1.30991145833,1.0,2.92155613607,3.170168,5.02215809578,5.040137,2.4557987468,2.643551
1.3209,1.30991145833,1.0,2.90975215527,3.170168,5.12374302058,5.040137,2.48806589869,2.643551
